== ut-callwatch2 start 2026-09-05 05:14:20  (600s)
== card:    iccid=<iccid-new-card> imsi=<imsi-new-card> mcc=216 mnc=70
== network: name=One HU mcc=216 mnc=70
== ims:     Registered=true VoiceCapable=true SmsCapable=true
== rat pref: nr   imsradio netdevs: 0
05:19:00 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:19:02 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:19:03 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:19:04 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:19:05 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:19:06 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:19:07 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:19:09 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:19:10 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:19:11 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:19:12 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:19:13 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:19:14 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:19:16 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:19:17 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:19:18 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:19:19 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:19:20 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:19:21 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:19:22 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:19:24 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:19:25 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:19:26 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:19:27 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:19:28 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:19:29 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:19:30 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:19:32 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:19:33 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:19:34 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:19:35 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:19:36 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:19:37 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:19:39 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:19:40 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:19:41 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:19:42 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:19:43 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:19:44 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:19:45 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:19:47 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:19:48 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:19:49 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:19:50 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:19:51 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:19:52 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:19:53 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:19:55 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
