# xo-series master=MPSS window=600s tick=19200000 sampled at 1 Hz
# kernel=#80-fp3 SMP PREEMPT Sat Aug 29 08:52:09 UTC 2026
# t_s  awake_ms  xo_off_ms  dt_s  xo_shutdowns  state
# ☠️ state=down with awake_ms=1000 means the master was ASLEEP THE WHOLE SECOND
#    and the edge-updated counter simply did not advance - NOT 100% awake.
479.5 938.8 81.2 1.020 2 up
480.5 242.1 787.9 1.030 3 up+cores
481.5 438.4 591.6 1.030 3 up+cores
482.5 460.0 580.0 1.040 4 up
483.6 448.5 591.5 1.040 3 up
484.6 832.8 197.2 1.030 0 up+cores
485.7 635.6 394.4 1.030 2 up+cores
486.7 462.2 577.8 1.040 3 up+cores
487.7 438.0 592.0 1.030 4 up
488.7 438.2 591.8 1.030 3 up
489.8 842.8 197.2 1.040 0 up+cores
490.8 437.9 592.1 1.030 3 up+cores
491.8 406.9 623.1 1.030 4 up
492.9 403.8 636.2 1.040 3 up
493.9 195.4 834.6 1.030 3 up+cores
495.0 818.0 212.0 1.030 1 up+cores
496.0 560.8 479.2 1.040 4 up
497.0 409.2 630.8 1.040 3 up
498.1 408.3 621.7 1.030 3 up
499.1 183.2 846.8 1.030 3 up+cores
500.1 621.2 408.8 1.030 2 up+cores
501.2 634.7 395.3 1.030 2 up+cores
502.2 448.1 591.9 1.040 3 up+cores
503.2 438.0 592.0 1.030 4 up
504.2 422.7 607.3 1.030 3 up
505.3 402.7 637.3 1.040 2 up+cores
506.3 894.4 135.6 1.030 2 up
507.3 255.0 775.0 1.030 3 up+cores
508.4 448.7 591.3 1.040 3 up+cores
509.4 441.9 588.1 1.030 4 up
510.5 452.0 578.0 1.030 2 up+cores
511.5 1040.0 0.0 1.040 1 up
512.5 242.0 788.0 1.030 3 up+cores
513.5 438.3 591.7 1.030 4 up
514.6 448.0 592.0 1.040 2 up+cores
515.6 918.7 121.3 1.040 2 up
516.7 822.4 197.6 1.020 1 up
517.7 348.1 691.9 1.040 3 up+cores
518.7 452.1 577.9 1.030 3 up+cores
519.8 448.0 592.0 1.040 3 up+cores
520.8 1030.0 0.0 1.030 0 up+cores
521.8 1030.0 0.0 1.030 0 up+cores
522.8 797.8 232.2 1.030 3 up
523.9 447.5 592.5 1.040 3 up
524.9 392.9 637.1 1.030 3 up
526.0 190.8 849.2 1.040 3 up+cores
527.0 827.3 212.7 1.040 1 up+cores
528.0 561.5 468.5 1.030 4 up
529.1 456.4 573.6 1.030 3 up
530.1 260.5 789.5 1.050 3 up+cores
531.2 843.0 197.0 1.040 2 up
532.2 636.3 393.7 1.030 1 up+cores
533.2 789.5 240.5 1.030 3 up
534.2 254.8 785.2 1.040 3 up+cores
535.3 452.0 578.0 1.030 3 up+cores
536.3 438.2 591.8 1.030 4 up
537.3 448.6 591.4 1.040 2 up+cores
538.4 785.6 244.4 1.030 2 up+cores
539.4 449.2 590.8 1.040 3 up+cores
540.5 422.7 607.3 1.030 3 up+cores
541.5 817.8 212.2 1.030 2 up
542.5 403.2 636.8 1.040 3 up
543.5 710.9 319.1 1.030 1 up+cores
544.6 451.0 589.0 1.040 4 up+cores
545.6 461.7 578.3 1.040 4 up
546.7 437.7 592.3 1.030 3 up
